domain,package,got_json,ip_count,port,ips,seconds
711bw101.mga11.fqstyj.com,ngi.ylrippkqigfkl.hsdppmgrypvjyfbhsh,yes,14,30154,103.45.129.234;8.134.143.176;42.194.177.67;8.134.134.238;159.75.72.50;43.136.105.252;8.134.239.11;1.14.150.118;8.134.171.215;8.134.131.85;103.120.90.46;8.134.250.210;106.52.50.43;1.14.190.197,3.7
711bw118.oov63.fqstyj.com,asb.luhuuuycpkaum.dtdmexkjjcpqpxjhsd,yes,14,30154,1.14.190.197;106.52.50.43;8.134.239.11;103.45.129.234;8.134.250.210;159.75.72.50;42.194.177.67;8.134.131.85;8.134.134.238;103.120.90.46;8.134.143.176;43.136.105.252;8.134.171.215;1.14.150.118,3.7
711bw128.dza94.fqstyj.com,yli.jtgahxpeyanld.olvrvqxdqrcehwujrn,yes,14,30154,106.52.50.43;103.45.129.234;8.134.131.85;1.14.190.197;159.75.72.50;103.120.90.46;8.134.143.176;43.136.105.252;8.134.171.215;8.134.134.238;42.194.177.67;8.134.250.210;8.134.239.11;1.14.150.118,5.2
711bw132.gso16.fqstyj.com,oqo.jfefwqhjtlqlq.jbgirwokvkdpacnjey,yes,14,30154,106.52.50.43;1.14.190.197;1.14.150.118;8.134.134.238;42.194.177.67;8.134.143.176;8.134.250.210;43.136.105.252;103.45.129.234;8.134.131.85;159.75.72.50;8.134.239.11;103.120.90.46;8.134.171.215,3.5
711bw137.orv32.fqstyj.com,pxu.naaobubbvxcxb.elbrbjcrljrlbfoqme,yes,14,30154,43.136.105.252;8.134.250.210;1.14.150.118;1.14.190.197;42.194.177.67;8.134.134.238;8.134.131.85;103.120.90.46;103.45.129.234;159.75.72.50;8.134.239.11;8.134.171.215;8.134.143.176;106.52.50.43,3.6
711bw154.ahz24.fqstyj.com,plg.cdbdvfpefkptk.oubuxohregooewsykm,yes,14,30154,42.194.177.67;103.45.129.234;8.134.250.210;8.134.239.11;159.75.72.50;103.120.90.46;8.134.131.85;8.134.134.238;8.134.171.215;43.136.105.252;8.134.143.176;1.14.150.118;106.52.50.43;1.14.190.197,5.2
711c173.f5ank.com,epk.eopdldfgtsom.nsqtlosjoyveviapqj,yes,15,30164,118.89.54.124;8.138.174.98;159.75.110.223;103.45.129.234;43.139.30.195;106.52.249.93;103.120.90.33;42.194.139.136;8.138.223.141;8.134.12.120;8.134.150.230;8.138.161.195;106.52.237.224;8.138.185.1;8.134.85.51,5.2
711c28.f5ank.com,wrn.amjqmkbynooc.fanhyoxxkuhchmfpue,yes,15,30164,8.138.223.141;8.138.161.195;106.52.237.224;43.139.30.195;8.134.85.51;103.45.129.234;8.134.12.120;118.89.54.124;159.75.110.223;103.120.90.33;42.194.139.136;8.138.174.98;106.52.249.93;8.138.185.1;8.134.150.230,5.2
711c284.07x3a.com,kpq.otmybcxnbsnsbn.custtmkolvgjpf,yes,14,30139,103.45.129.234;123.207.40.186;43.136.38.151;111.230.72.238;42.194.181.18;8.148.251.123;114.132.247.112;8.138.193.247;139.199.159.229;103.120.90.51;8.163.112.72;8.138.30.147;8.148.228.8;8.148.191.243,5.2
711c447.wbacb.com,dux.ekjprqrotllske.ibncaeyfglwuva,yes,14,30139,8.138.193.247;8.163.112.72;8.138.30.147;42.194.181.18;8.148.228.8;111.230.72.238;8.148.251.123;123.207.40.186;103.45.129.234;103.120.90.51;43.136.38.151;139.199.159.229;8.148.191.243;114.132.247.112,5.2
711cpa1.yt35a.com,keyps.uwplutpj.obupsjayw,yes,15,30138,8.148.243.225;8.163.1.180;8.134.83.115;103.45.129.234;1.14.201.64;8.163.55.197;193.112.206.162;103.120.90.51;8.148.216.6;8.163.38.119;42.194.186.144;123.207.85.65;139.199.173.247;8.148.251.8;193.112.75.147,5.2
711cpa10.9h87d.com,pob.usprnsdhalvimep.kclwgmkgxdoriikeirxh,yes,14,30145,8.134.137.91;175.178.58.16;8.138.26.104;43.139.191.182;103.120.90.46;103.45.129.234;8.138.7.133;119.29.63.124;106.55.196.93;8.134.215.2;8.138.185.191;8.138.207.84;119.29.193.76;159.75.28.236,5.2
711cpa10.i10o6.com,iln.jxvogxduylevdio.slawdqwaynuydobnuvqr,yes,14,30145,8.138.26.104;106.55.196.93;8.138.185.191;119.29.63.124;43.139.191.182;159.75.28.236;8.134.215.2;8.138.7.133;103.120.90.46;119.29.193.76;103.45.129.234;175.178.58.16;8.134.137.91;8.138.207.84,5.2
711cpa2.7k82a.com,shu.afvwyjeucqgrmds.tfmdeqtuledkoxkxgwne,yes,14,30145,8.138.207.84;8.138.185.191;43.139.191.182;103.45.129.234;8.138.7.133;103.120.90.46;8.134.137.91;159.75.28.236;8.138.26.104;119.29.63.124;175.178.58.16;119.29.193.76;8.134.215.2;106.55.196.93,5.2
711cpa3.uz8g9.com,xxw.pxwnpgmtgfch.qutvenpakenhbaslxm,yes,15,30164,8.134.12.120;42.194.139.136;159.75.110.223;103.120.90.33;8.138.174.98;8.138.161.195;106.52.237.224;118.89.54.124;8.134.85.51;8.134.150.230;106.52.249.93;8.138.223.141;8.138.185.1;103.45.129.234;43.139.30.195,5.2
711cpa4.9rski.com,nia.rlgahflqpwbl.nqewvewcdjhefjtfcn,yes,15,30164,43.139.30.195;8.138.223.141;8.138.185.1;103.45.129.234;8.138.174.98;8.134.150.230;159.75.110.223;118.89.54.124;8.134.85.51;8.138.161.195;106.52.237.224;42.194.139.136;106.52.249.93;8.134.12.120;103.120.90.33,5.4
711cpa5.9h87d.com,ucq.ofttprwsvobjjtt.bkpmvgqecrakxkfyctsw,yes,14,30145,175.178.58.16;8.138.26.104;106.55.196.93;8.138.185.191;8.134.137.91;8.138.207.84;43.139.191.182;8.134.215.2;103.120.90.46;103.45.129.234;119.29.193.76;8.138.7.133;119.29.63.124;159.75.28.236,5.2
711cpa6.hahh6.com,tnh.sgguwcirjkdtgun.dhvcsihjvryrwopieksx,yes,14,30145,8.134.215.2;43.139.191.182;103.120.90.46;119.29.63.124;8.138.26.104;8.134.137.91;8.138.185.191;8.138.7.133;119.29.193.76;8.138.207.84;106.55.196.93;175.178.58.16;159.75.28.236;103.45.129.234,3.7
711cpa9.npk8h.com,dnc.qqnqotlioexlyjt.ofatpodhioadjsdlfwhx,yes,14,30145,8.134.215.2;8.138.7.133;8.138.207.84;106.55.196.93;8.134.137.91;43.139.191.182;8.138.26.104;119.29.63.124;119.29.193.76;159.75.28.236;103.120.90.46;103.45.129.234;8.138.185.191;175.178.58.16,5.2
711cpb01.t70qz.com,bjh.hhgbpbvcfiy.pywrgeylnaebfhqt,yes,15,30169,8.138.158.86;43.139.125.107;8.138.238.9;42.193.249.59;8.138.203.48;8.138.148.142;103.45.129.234;159.75.24.53;111.230.10.141;8.138.180.102;106.52.251.61;8.138.241.245;103.120.90.66;106.55.178.75;8.138.151.157,5.3
711cpb01.vci3l.com,qsx.fdmmndwkife.qfboctslqihdkmnn,yes,15,30169,103.45.129.234;43.139.125.107;8.138.241.245;106.52.251.61;8.138.158.86;106.55.178.75;8.138.238.9;8.138.151.157;159.75.24.53;42.193.249.59;103.120.90.66;8.138.203.48;8.138.180.102;8.138.148.142;111.230.10.141,5.2
711cpb05.ujg8s.com,wgg.afpdwefahki.lkpkrpvygqkcompv,yes,15,30169,106.52.251.61;8.138.180.102;8.138.238.9;8.138.148.142;103.45.129.234;43.139.125.107;111.230.10.141;106.55.178.75;103.120.90.66;159.75.24.53;8.138.158.86;8.138.241.245;42.193.249.59;8.138.203.48;8.138.151.157,3.7
