apk_path,package,label,apk_id
/home/ninini/Agents/APK-Research/new_samples/71du022.dk7vd.com.apk,cdh.mxxksvenuly.xagxwaxwdofdxei,zBPkhh,71du022.dk7vd.com
/home/ninini/Agents/APK-Research/new_samples/721cpk21.0x8ls.com.apk,sic.meboroivjpta.xccumyyelgchqqeuwgry,GzMCZi,721cpk21.0x8ls.com
/home/ninini/Agents/APK-Research/new_samples/715cpb05.z2nzr.com.apk,mbu.ycxduloojlt.mogxjnunsslkfbal,goHimQ,715cpb05.z2nzr.com
/home/ninini/Agents/APK-Research/new_samples/711c28.f5ank.com.apk,wrn.amjqmkbynooc.fanhyoxxkuhchmfpue,xXwCYW,711c28.f5ank.com
/home/ninini/Agents/APK-Research/new_samples/721a1.aw98z.com.apk,qoueqcmtv.ciakxjhvlkcvrjbs.ybgdeixg,chpNpG,721a1.aw98z.com
/home/ninini/Agents/APK-Research/new_samples/711cpb15.geh6f.com.apk,sls.umgdiqwfnif.roovpasfoumdhutt,cBFcvr,711cpb15.geh6f.com
/home/ninini/Agents/APK-Research/new_samples/711sl085.szmwk.com.apk,yts.yvipkbrmabfoyfk.kvpbxilsrflkx,cjgfTZ,711sl085.szmwk.com
/home/ninini/Agents/APK-Research/new_samples/714yh158.6n3cl.com.apk,syf.pdlkevxymmmp.suwonastcttfruwjnhbn,vRcDIQ,714yh158.6n3cl.com
/home/ninini/Agents/APK-Research/new_samples/715sl041.tdbp6.com.apk,tci.gohiamtksedyfiy.sntrqcmejimir,TUxsKR,715sl041.tdbp6.com
/home/ninini/Agents/APK-Research/new_samples/716sf3.b1w5h.com.apk,pkxbocjvd.kqndikjtpnrfpwyp.tykqciph,xJpzvr,716sf3.b1w5h.com
/home/ninini/Agents/APK-Research/new_samples/711cpa5.9h87d.com.apk,ucq.ofttprwsvobjjtt.bkpmvgqecrakxkfyctsw,bGHvGx,711cpa5.9h87d.com
/home/ninini/Agents/APK-Research/new_samples/711d29.1scvr.top.apk,xnk.jyabjumdvajtpewc.imhpbxufxlqlafiqj,ojQhsW,711d29.1scvr.top
/home/ninini/Agents/APK-Research/new_samples/71du008.7dqnu.com.apk,pfl.lklsvdmpyrxmqht.kexakxiclxcyd,pNLlGc,71du008.7dqnu.com
/home/ninini/Agents/APK-Research/new_samples/712d169.ojq08.com.apk,wgf.kaehspqrpjud.yhflctghtucouhcfqj,hFRkix,712d169.ojq08.com
/home/ninini/Agents/APK-Research/new_samples/712sl001.79nmn.com.apk,pfl.lklsvdmpyrxmqht.kexakxiclxcyd,pNLlGc,712sl001.79nmn.com
/home/ninini/Agents/APK-Research/new_samples/714yh49.lo0me.com.apk,rgv.rvoxclktclty.hckctagvvpcaygwnwsal,zKYPSD,714yh49.lo0me.com
